RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt
R05-M0-N11,R0D-M0-N15,R05-M0-N15,R05-M0-N03,R15-M0-N03,R05-M0-N10,R07-M0-N10,R05-M0-N09,R04-M0-N09
R05-M0-N12,R05-M0-N08,R0D-M0-N08,R05-M0-N04,R15-M0-N04,R01-M0-N13,R05-M0-N13,R05-M1-N14,R05-M0-N14
R05-M0-N13,R05-M0-N09,R0D-M0-N09,R05-M0-N05,R15-M0-N05,R05-M0-N12,R07-M0-N12,R05-M1-N15,R05-M0-N15
R05-M0-N14,R05-M0-N10,R0D-M0-N10,R05-M0-N06,R15-M0-N06,R01-M0-N15,R05-M0-N15,R05-M0-N12,R04-M0-N12
R05-M0-N15,R05-M0-N11,R0D-M0-N11,R05-M0-N07,R15-M0-N07,R05-M0-N14,R07-M0-N14,R05-M0-N13,R04-M0-N13
R05-M1-N00,R0D-M1-N04,R05-M1-N04,R25-M1-N08,R05-M1-N08,R01-M1-N01,R05-M1-N01,R04-M1-N02,R05-M1-N02
R05-M1-N01,R0D-M1-N05,R05-M1-N05,R25-M1-N09,R05-M1-N09,R05-M1-N00,R07-M1-N00,R04-M1-N03,R05-M1-N03
R05-M1-N02,R0D-M1-N06,R05-M1-N06,R25-M1-N10,R05-M1-N10,R01-M1-N03,R05-M1-N03,R05-M1-N00,R05-M0-N00
R05-M1-N03,R0D-M1-N07,R05-M1-N07,R25-M1-N11,R05-M1-N11,R05-M1-N02,R07-M1-N02,R05-M1-N01,R05-M0-N01
R05-M1-N04,R05-M1-N00,R0D-M1-N00,R25-M1-N12,R05-M1-N12,R01-M1-N05,R05-M1-N05,R04-M1-N06,R05-M1-N06
R05-M1-N05,R05-M1-N01,R0D-M1-N01,R25-M1-N13,R05-M1-N13,R05-M1-N04,R07-M1-N04,R04-M1-N07,R05-M1-N07
R05-M1-N06,R05-M1-N02,R0D-M1-N02,R25-M1-N14,R05-M1-N14,R01-M1-N07,R05-M1-N07,R05-M1-N04,R05-M0-N04
R05-M1-N07,R05-M1-N03,R0D-M1-N03,R25-M1-N15,R05-M1-N15,R05-M1-N06,R07-M1-N06,R05-M1-N05,R05-M0-N05
R05-M1-N08,R0D-M1-N12,R05-M1-N12,R05-M1-N00,R15-M1-N00,R01-M1-N09,R05-M1-N09,R04-M1-N10,R05-M1-N10
R05-M1-N09,R0D-M1-N13,R05-M1-N13,R05-M1-N01,R15-M1-N01,R05-M1-N08,R07-M1-N08,R04-M1-N11,R05-M1-N11
R05-M1-N10,R0D-M1-N14,R05-M1-N14,R05-M1-N02,R15-M1-N02,R01-M1-N11,R05-M1-N11,R05-M1-N08,R05-M0-N08
R05-M1-N11,R0D-M1-N15,R05-M1-N15,R05-M1-N03,R15-M1-N03,R05-M1-N10,R07-M1-N10,R05-M1-N09,R05-M0-N09
R05-M1-N12,R05-M1-N08,R0D-M1-N08,R05-M1-N04,R15-M1-N04,R01-M1-N13,R05-M1-N13,R04-M1-N14,R05-M1-N14
R05-M1-N13,R05-M1-N09,R0D-M1-N09,R05-M1-N05,R15-M1-N05,R05-M1-N12,R07-M1-N12,R04-M1-N15,R05-M1-N15
R05-M1-N14,R05-M1-N10,R0D-M1-N10,R05-M1-N06,R15-M1-N06,R01-M1-N15,R05-M1-N15,R05-M1-N12,R05-M0-N12
R05-M1-N15,R05-M1-N11,R0D-M1-N11,R05-M1-N07,R15-M1-N07,R05-M1-N14,R07-M1-N14,R05-M1-N13,R05-M0-N13
R06-M0-N00,R0E-M0-N04,R06-M0-N04,R26-M0-N08,R06-M0-N08,R04-M0-N01,R06-M0-N01,R07-M0-N02,R06-M0-N02
R06-M0-N01,R0E-M0-N05,R06-M0-N05,R26-M0-N09,R06-M0-N09,R06-M0-N00,R02-M0-N00,R07-M0-N03,R06-M0-N03
R06-M0-N02,R0E-M0-N06,R06-M0-N06,R26-M0-N10,R06-M0-N10,R04-M0-N03,R06-M0-N03,R06-M0-N00,R06-M1-N00
R06-M0-N03,R0E-M0-N07,R06-M0-N07,R26-M0-N11,R06-M0-N11,R06-M0-N02,R02-M0-N02,R06-M0-N01,R06-M1-N01
R06-M0-N04,R06-M0-N00,R0E-M0-N00,R26-M0-N12,R06-M0-N12,R04-M0-N05,R06-M0-N05,R07-M0-N06,R06-M0-N06
R06-M0-N05,R06-M0-N01,R0E-M0-N01,R26-M0-N13,R06-M0-N13,R06-M0-N04,R02-M0-N04,R07-M0-N07,R06-M0-N07
R06-M0-N06,R06-M0-N02,R0E-M0-N02,R26-M0-N14,R06-M0-N14,R04-M0-N07,R06-M0-N07,R06-M0-N04,R06-M1-N04
R06-M0-N07,R06-M0-N03,R0E-M0-N03,R26-M0-N15,R06-M0-N15,R06-M0-N06,R02-M0-N06,R06-M0-N05,R06-M1-N05
R06-M0-N08,R0E-M0-N12,R06-M0-N12,R06-M0-N00,R16-M0-N00,R04-M0-N09,R06-M0-N09,R07-M0-N10,R06-M0-N10
R06-M0-N09,R0E-M0-N13,R06-M0-N13,R06-M0-N01,R16-M0-N01,R06-M0-N08,R02-M0-N08,R07-M0-N11,R06-M0-N11
R06-M0-N10,R0E-M0-N14,R06-M0-N14,R06-M0-N02,R16-M0-N02,R04-M0-N11,R06-M0-N11,R06-M0-N08,R06-M1-N08
R06-M0-N11,R0E-M0-N15,R06-M0-N15,R06-M0-N03,R16-M0-N03,R06-M0-N10,R02-M0-N10,R06-M0-N09,R06-M1-N09
R06-M0-N12,R06-M0-N08,R0E-M0-N08,R06-M0-N04,R16-M0-N04,R04-M0-N13,R06-M0-N13,R07-M0-N14,R06-M0-N14
R06-M0-N13,R06-M0-N09,R0E-M0-N09,R06-M0-N05,R16-M0-N05,R06-M0-N12,R02-M0-N12,R07-M0-N15,R06-M0-N15
R06-M0-N14,R06-M0-N10,R0E-M0-N10,R06-M0-N06,R16-M0-N06,R04-M0-N15,R06-M0-N15,R06-M0-N12,R06-M1-N12
R06-M0-N15,R06-M0-N11,R0E-M0-N11,R06-M0-N07,R16-M0-N07,R06-M0-N14,R02-M0-N14,R06-M0-N13,R06-M1-N13
R06-M1-N00,R0E-M1-N04,R06-M1-N04,R26-M1-N08,R06-M1-N08,R04-M1-N01,R06-M1-N01,R06-M0-N02,R06-M1-N02
R06-M1-N01,R0E-M1-N05,R06-M1-N05,R26-M1-N09,R06-M1-N09,R06-M1-N00,R02-M1-N00,R06-M0-N03,R06-M1-N03
R06-M1-N02,R0E-M1-N06,R06-M1-N06,R26-M1-N10,R06-M1-N10,R04-M1-N03,R06-M1-N03,R06-M1-N00,R07-M1-N00
R06-M1-N03,R0E-M1-N07,R06-M1-N07,R26-M1-N11,R06-M1-N11,R06-M1-N02,R02-M1-N02,R06-M1-N01,R07-M1-N01
R06-M1-N04,R06-M1-N00,R0E-M1-N00,R26-M1-N12,R06-M1-N12,R04-M1-N05,R06-M1-N05,R06-M0-N06,R06-M1-N06
R06-M1-N05,R06-M1-N01,R0E-M1-N01,R26-M1-N13,R06-M1-N13,R06-M1-N04,R02-M1-N04,R06-M0-N07,R06-M1-N07
R06-M1-N06,R06-M1-N02,R0E-M1-N02,R26-M1-N14,R06-M1-N14,R04-M1-N07,R06-M1-N07,R06-M1-N04,R07-M1-N04
R06-M1-N07,R06-M1-N03,R0E-M1-N03,R26-M1-N15,R06-M1-N15,R06-M1-N06,R02-M1-N06,R06-M1-N05,R07-M1-N05
R06-M1-N08,R0E-M1-N12,R06-M1-N12,R06-M1-N00,R16-M1-N00,R04-M1-N09,R06-M1-N09,R06-M0-N10,R06-M1-N10
R06-M1-N09,R0E-M1-N13,R06-M1-N13,R06-M1-N01,R16-M1-N01,R06-M1-N08,R02-M1-N08,R06-M0-N11,R06-M1-N11
R06-M1-N10,R0E-M1-N14,R06-M1-N14,R06-M1-N02,R16-M1-N02,R04-M1-N11,R06-M1-N11,R06-M1-N08,R07-M1-N08
R06-M1-N11,R0E-M1-N15,R06-M1-N15,R06-M1-N03,R16-M1-N03,R06-M1-N10,R02-M1-N10,R06-M1-N09,R07-M1-N09
R06-M1-N12,R06-M1-N08,R0E-M1-N08,R06-M1-N04,R16-M1-N04,R04-M1-N13,R06-M1-N13,R06-M0-N14,R06-M1-N14
R06-M1-N13,R06-M1-N09,R0E-M1-N09,R06-M1-N05,R16-M1-N05,R06-M1-N12,R02-M1-N12,R06-M0-N15,R06-M1-N15
R06-M1-N14,R06-M1-N10,R0E-M1-N10,R06-M1-N06,R16-M1-N06,R04-M1-N15,R06-M1-N15,R06-M1-N12,R07-M1-N12
R06-M1-N15,R06-M1-N11,R0E-M1-N11,R06-M1-N07,R16-M1-N07,R06-M1-N14,R02-M1-N14,R06-M1-N13,R07-M1-N13
R07-M0-N00,R0F-M0-N04,R07-M0-N04,R27-M0-N08,R07-M0-N08,R05-M0-N01,R07-M0-N01,R07-M1-N02,R07-M0-N02
R07-M0-N01,R0F-M0-N05,R07-M0-N05,R27-M0-N09,R07-M0-N09,R07-M0-N00,R03-M0-N00,R07-M1-N03,R07-M0-N03
R07-M0-N02,R0F-M0-N06,R07-M0-N06,R27-M0-N10,R07-M0-N10,R05-M0-N03,R07-M0-N03,R07-M0-N00,R06-M0-N00
R07-M0-N03,R0F-M0-N07,R07-M0-N07,R27-M0-N11,R07-M0-N11,R07-M0-N02,R03-M0-N02,R07-M0-N01,R06-M0-N01
R07-M0-N04,R07-M0-N00,R0F-M0-N00,R27-M0-N12,R07-M0-N12,R05-M0-N05,R07-M0-N05,R07-M1-N06,R07-M0-N06
R07-M0-N05,R07-M0-N01,R0F-M0-N01,R27-M0-N13,R07-M0-N13,R07-M0-N04,R03-M0-N04,R07-M1-N07,R07-M0-N07
R07-M0-N06,R07-M0-N02,R0F-M0-N02,R27-M0-N14,R07-M0-N14,R05-M0-N07,R07-M0-N07,R07-M0-N04,R06-M0-N04
R07-M0-N07,R07-M0-N03,R0F-M0-N03,R27-M0-N15,R07-M0-N15,R07-M0-N06,R03-M0-N06,R07-M0-N05,R06-M0-N05
R07-M0-N08,R0F-M0-N12,R07-M0-N12,R07-M0-N00,R17-M0-N00,R05-M0-N09,R07-M0-N09,R07-M1-N10,R07-M0-N10
R07-M0-N09,R0F-M0-N13,R07-M0-N13,R07-M0-N01,R17-M0-N01,R07-M0-N08,R03-M0-N08,R07-M1-N11,R07-M0-N11
R07-M0-N10,R0F-M0-N14,R07-M0-N14,R07-M0-N02,R17-M0-N02,R05-M0-N11,R07-M0-N11,R07-M0-N08,R06-M0-N08
R07-M0-N11,R0F-M0-N15,R07-M0-N15,R07-M0-N03,R17-M0-N03,R07-M0-N10,R03-M0-N10,R07-M0-N09,R06-M0-N09
R07-M0-N12,R07-M0-N08,R0F-M0-N08,R07-M0-N04,R17-M0-N04,R05-M0-N13,R07-M0-N13,R07-M1-N14,R07-M0-N14
R07-M0-N13,R07-M0-N09,R0F-M0-N09,R07-M0-N05,R17-M0-N05,R07-M0-N12,R03-M0-N12,R07-M1-N15,R07-M0-N15
R07-M0-N14,R07-M0-N10,R0F-M0-N10,R07-M0-N06,R17-M0-N06,R05-M0-N15,R07-M0-N15,R07-M0-N12,R06-M0-N12
R07-M0-N15,R07-M0-N11,R0F-M0-N11,R07-M0-N07,R17-M0-N07,R07-M0-N14,R03-M0-N14,R07-M0-N13,R06-M0-N13
R07-M1-N00,R0F-M1-N04,R07-M1-N04,R27-M1-N08,R07-M1-N08,R05-M1-N01,R07-M1-N01,R06-M1-N02,R07-M1-N02
R07-M1-N01,R0F-M1-N05,R07-M1-N05,R27-M1-N09,R07-M1-N09,R07-M1-N00,R03-M1-N00,R06-M1-N03,R07-M1-N03
R07-M1-N02,R0F-M1-N06,R07-M1-N06,R27-M1-N10,R07-M1-N10,R05-M1-N03,R07-M1-N03,R07-M1-N00,R07-M0-N00
R07-M1-N03,R0F-M1-N07,R07-M1-N07,R27-M1-N11,R07-M1-N11,R07-M1-N02,R03-M1-N02,R07-M1-N01,R07-M0-N01
R07-M1-N04,R07-M1-N00,R0F-M1-N00,R27-M1-N12,R07-M1-N12,R05-M1-N05,R07-M1-N05,R06-M1-N06,R07-M1-N06
R07-M1-N05,R07-M1-N01,R0F-M1-N01,R27-M1-N13,R07-M1-N13,R07-M1-N04,R03-M1-N04,R06-M1-N07,R07-M1-N07
R07-M1-N06,R07-M1-N02,R0F-M1-N02,R27-M1-N14,R07-M1-N14,R05-M1-N07,R07-M1-N07,R07-M1-N04,R07-M0-N04
R07-M1-N07,R07-M1-N03,R0F-M1-N03,R27-M1-N15,R07-M1-N15,R07-M1-N06,R03-M1-N06,R07-M1-N05,R07-M0-N05
R07-M1-N08,R0F-M1-N12,R07-M1-N12,R07-M1-N00,R17-M1-N00,R05-M1-N09,R07-M1-N09,R06-M1-N10,R07-M1-N10
R07-M1-N09,R0F-M1-N13,R07-M1-N13,R07-M1-N01,R17-M1-N01,R07-M1-N08,R03-M1-N08,R06-M1-N11,R07-M1-N11
R07-M1-N10,R0F-M1-N14,R07-M1-N14,R07-M1-N02,R17-M1-N02,R05-M1-N11,R07-M1-N11,R07-M1-N08,R07-M0-N08
R07-M1-N11,R0F-M1-N15,R07-M1-N15,R07-M1-N03,R17-M1-N03,R07-M1-N10,R03-M1-N10,R07-M1-N09,R07-M0-N09
R07-M1-N12,R07-M1-N08,R0F-M1-N08,R07-M1-N04,R17-M1-N04,R05-M1-N13,R07-M1-N13,R06-M1-N14,R07-M1-N14
R07-M1-N13,R07-M1-N09,R0F-M1-N09,R07-M1-N05,R17-M1-N05,R07-M1-N12,R03-M1-N12,R06-M1-N15,R07-M1-N15
R07-M1-N14,R07-M1-N10,R0F-M1-N10,R07-M1-N06,R17-M1-N06,R05-M1-N15,R07-M1-N15,R07-M1-N12,R07-M0-N12
R07-M1-N15,R07-M1-N11,R0F-M1-N11,R07-M1-N07,R17-M1-N07,R07-M1-N14,R03-M1-N14,R07-M1-N13,R07-M0-N13
R08-M0-N00,R00-M0-N04,R08-M0-N04,R28-M0-N08,R08-M0-N08,R0A-M0-N01,R08-M0-N01,R09-M0-N02,R08-M0-N02
R08-M0-N01,R00-M0-N05,R08-M0-N05,R28-M0-N09,R08-M0-N09,R08-M0-N00,R0C-M0-N00,R09-M0-N03,R08-M0-N03
R08-M0-N02,R00-M0-N06,R08-M0-N06,R28-M0-N10,R08-M0-N10,R0A-M0-N03,R08-M0-N03,R08-M0-N00,R08-M1-N00
R08-M0-N03,R00-M0-N07,R08-M0-N07,R28-M0-N11,R08-M0-N11,R08-M0-N02,R0C-M0-N02,R08-M0-N01,R08-M1-N01
R08-M0-N04,R08-M0-N00,R00-M0-N00,R28-M0-N12,R08-M0-N12,R0A-M0-N05,R08-M0-N05,R09-M0-N06,R08-M0-N06
R08-M0-N05,R08-M0-N01,R00-M0-N01,R28-M0-N13,R08-M0-N13,R08-M0-N04,R0C-M0-N04,R09-M0-N07,R08-M0-N07
R08-M0-N06,R08-M0-N02,R00-M0-N02,R28-M0-N14,R08-M0-N14,R0A-M0-N07,R08-M0-N07,R08-M0-N04,R08-M1-N04
R08-M0-N07,R08-M0-N03,R00-M0-N03,R28-M0-N15,R08-M0-N15,R08-M0-N06,R0C-M0-N06,R08-M0-N05,R08-M1-N05
R08-M0-N08,R00-M0-N12,R08-M0-N12,R08-M0-N00,R18-M0-N00,R0A-M0-N09,R08-M0-N09,R09-M0-N10,R08-M0-N10
R08-M0-N09,R00-M0-N13,R08-M0-N13,R08-M0-N01,R18-M0-N01,R08-M0-N08,R0C-M0-N08,R09-M0-N11,R08-M0-N11
R08-M0-N10,R00-M0-N14,R08-M0-N14,R08-M0-N02,R18-M0-N02,R0A-M0-N11,R08-M0-N11,R08-M0-N08,R08-M1-N08
R08-M0-N11,R00-M0-N15,R08-M0-N15,R08-M0-N03,R18-M0-N03,R08-M0-N10,R0C-M0-N10,R08-M0-N09,R08-M1-N09
R08-M0-N12,R08-M0-N08,R00-M0-N08,R08-M0-N04,R18-M0-N04,R0A-M0-N13,R08-M0-N13,R09-M0-N14,R08-M0-N14
R08-M0-N13,R08-M0-N09,R00-M0-N09,R08-M0-N05,R18-M0-N05,R08-M0-N12,R0C-M0-N12,R09-M0-N15,R08-M0-N15
R08-M0-N14,R08-M0-N10,R00-M0-N10,R08-M0-N06,R18-M0-N06,R0A-M0-N15,R08-M0-N15,R08-M0-N12,R08-M1-N12
R08-M0-N15,R08-M0-N11,R00-M0-N11,R08-M0-N07,R18-M0-N07,R08-M0-N14,R0C-M0-N14,R08-M0-N13,R08-M1-N13
R08-M1-N00,R00-M1-N04,R08-M1-N04,R28-M1-N08,R08-M1-N08,R0A-M1-N01,R08-M1-N01,R08-M0-N02,R08-M1-N02
R08-M1-N01,R00-M1-N05,R08-M1-N05,R28-M1-N09,R08-M1-N09,R08-M1-N00,R0C-M1-N00,R08-M0-N03,R08-M1-N03
R08-M1-N02,R00-M1-N06,R08-M1-N06,R28-M1-N10,R08-M1-N10,R0A-M1-N03,R08-M1-N03,R08-M1-N00,R09-M1-N00
R08-M1-N03,R00-M1-N07,R08-M1-N07,R28-M1-N11,R08-M1-N11,R08-M1-N02,R0C-M1-N02,R08-M1-N01,R09-M1-N01
R08-M1-N04,R08-M1-N00,R00-M1-N00,R28-M1-N12,R08-M1-N12,R0A-M1-N05,R08-M1-N05,R08-M0-N06,R08-M1-N06
R08-M1-N05,R08-M1-N01,R00-M1-N01,R28-M1-N13,R08-M1-N13,R08-M1-N04,R0C-M1-N04,R08-M0-N07,R08-M1-N07
R08-M1-N06,R08-M1-N02,R00-M1-N02,R28-M1-N14,R08-M1-N14,R0A-M1-N07,R08-M1-N07,R08-M1-N04,R09-M1-N04
R08-M1-N07,R08-M1-N03,R00-M1-N03,R28-M1-N15,R08-M1-N15,R08-M1-N06,R0C-M1-N06,R08-M1-N05,R09-M1-N05
R08-M1-N08,R00-M1-N12,R08-M1-N12,R08-M1-N00,R18-M1-N00,R0A-M1-N09,R08-M1-N09,R08-M0-N10,R08-M1-N10
R08-M1-N09,R00-M1-N13,R08-M1-N13,R08-M1-N01,R18-M1-N01,R08-M1-N08,R0C-M1-N08,R08-M0-N11,R08-M1-N11
R08-M1-N10,R00-M1-N14,R08-M1-N14,R08-M1-N02,R18-M1-N02,R0A-M1-N11,R08-M1-N11,R08-M1-N08,R09-M1-N08
R08-M1-N11,R00-M1-N15,R08-M1-N15,R08-M1-N03,R18-M1-N03,R08-M1-N10,R0C-M1-N10,R08-M1-N09,R09-M1-N09
R08-M1-N12,R08-M1-N08,R00-M1-N08,R08-M1-N04,R18-M1-N04,R0A-M1-N13,R08-M1-N13,R08-M0-N14,R08-M1-N14
R08-M1-N13,R08-M1-N09,R00-M1-N09,R08-M1-N05,R18-M1-N05,R08-M1-N12,R0C-M1-N12,R08-M0-N15,R08-M1-N15
R08-M1-N14,R08-M1-N10,R00-M1-N10,R08-M1-N06,R18-M1-N06,R0A-M1-N15,R08-M1-N15,R08-M1-N12,R09-M1-N12
R08-M1-N15,R08-M1-N11,R00-M1-N11,R08-M1-N07,R18-M1-N07,R08-M1-N14,R0C-M1-N14,R08-M1-N13,R09-M1-N13
R09-M0-N00,R01-M0-N04,R09-M0-N04,R29-M0-N08,R09-M0-N08,R0B-M0-N01,R09-M0-N01,R09-M1-N02,R09-M0-N02
R09-M0-N01,R01-M0-N05,R09-M0-N05,R29-M0-N09,R09-M0-N09,R09-M0-N00,R0D-M0-N00,R09-M1-N03,R09-M0-N03
R09-M0-N02,R01-M0-N06,R09-M0-N06,R29-M0-N10,R09-M0-N10,R0B-M0-N03,R09-M0-N03,R09-M0-N00,R08-M0-N00
R09-M0-N03,R01-M0-N07,R09-M0-N07,R29-M0-N11,R09-M0-N11,R09-M0-N02,R0D-M0-N02,R09-M0-N01,R08-M0-N01
R09-M0-N04,R09-M0-N00,R01-M0-N00,R29-M0-N12,R09-M0-N12,R0B-M0-N05,R09-M0-N05,R09-M1-N06,R09-M0-N06
R09-M0-N05,R09-M0-N01,R01-M0-N01,R29-M0-N13,R09-M0-N13,R09-M0-N04,R0D-M0-N04,R09-M1-N07,R09-M0-N07
R09-M0-N06,R09-M0-N02,R01-M0-N02,R29-M0-N14,R09-M0-N14,R0B-M0-N07,R09-M0-N07,R09-M0-N04,R08-M0-N04
R09-M0-N07,R09-M0-N03,R01-M0-N03,R29-M0-N15,R09-M0-N15,R09-M0-N06,R0D-M0-N06,R09-M0-N05,R08-M0-N05
R09-M0-N08,R01-M0-N12,R09-M0-N12,R09-M0-N00,R19-M0-N00,R0B-M0-N09,R09-M0-N09,R09-M1-N10,R09-M0-N10
R09-M0-N09,R01-M0-N13,R09-M0-N13,R09-M0-N01,R19-M0-N01,R09-M0-N08,R0D-M0-N08,R09-M1-N11,R09-M0-N11
R09-M0-N10,R01-M0-N14,R09-M0-N14,R09-M0-N02,R19-M0-N02,R0B-M0-N11,R09-M0-N11,R09-M0-N08,R08-M0-N08
R09-M0-N11,R01-M0-N15,R09-M0-N15,R09-M0-N03,R19-M0-N03,R09-M0-N10,R0D-M0-N10,R09-M0-N09,R08-M0-N09
R09-M0-N12,R09-M0-N08,R01-M0-N08,R09-M0-N04,R19-M0-N04,R0B-M0-N13,R09-M0-N13,R09-M1-N14,R09-M0-N14
R09-M0-N13,R09-M0-N09,R01-M0-N09,R09-M0-N05,R19-M0-N05,R09-M0-N12,R0D-M0-N12,R09-M1-N15,R09-M0-N15
R09-M0-N14,R09-M0-N10,R01-M0-N10,R09-M0-N06,R19-M0-N06,R0B-M0-N15,R09-M0-N15,R09-M0-N12,R08-M0-N12
R09-M0-N15,R09-M0-N11,R01-M0-N11,R09-M0-N07,R19-M0-N07,R09-M0-N14,R0D-M0-N14,R09-M0-N13,R08-M0-N13
R09-M1-N00,R01-M1-N04,R09-M1-N04,R29-M1-N08,R09-M1-N08,R0B-M1-N01,R09-M1-N01,R08-M1-N02,R09-M1-N02
R09-M1-N01,R01-M1-N05,R09-M1-N05,R29-M1-N09,R09-M1-N09,R09-M1-N00,R0D-M1-N00,R08-M1-N03,R09-M1-N03
R09-M1-N02,R01-M1-N06,R09-M1-N06,R29-M1-N10,R09-M1-N10,R0B-M1-N03,R09-M1-N03,R09-M1-N00,R09-M0-N00
R09-M1-N03,R01-M1-N07,R09-M1-N07,R29-M1-N11,R09-M1-N11,R09-M1-N02,R0D-M1-N02,R09-M1-N01,R09-M0-N01
R09-M1-N04,R09-M1-N00,R01-M1-N00,R29-M1-N12,R09-M1-N12,R0B-M1-N05,R09-M1-N05,R08-M1-N06,R09-M1-N06
R09-M1-N05,R09-M1-N01,R01-M1-N01,R29-M1-N13,R09-M1-N13,R09-M1-N04,R0D-M1-N04,R08-M1-N07,R09-M1-N07
R09-M1-N06,R09-M1-N02,R01-M1-N02,R29-M1-N14,R09-M1-N14,R0B-M1-N07,R09-M1-N07,R09-M1-N04,R09-M0-N04
R09-M1-N07,R09-M1-N03,R01-M1-N03,R29-M1-N15,R09-M1-N15,R09-M1-N06,R0D-M1-N06,R09-M1-N05,R09-M0-N05
R09-M1-N08,R01-M1-N12,R09-M1-N12,R09-M1-N00,R19-M1-N00,R0B-M1-N09,R09-M1-N09,R08-M1-N10,R09-M1-N10
R09-M1-N09,R01-M1-N13,R09-M1-N13,R09-M1-N01,R19-M1-N01,R09-M1-N08,R0D-M1-N08,R08-M1-N11,R09-M1-N11
R09-M1-N10,R01-M1-N14,R09-M1-N14,R09-M1-N02,R19-M1-N02,R0B-M1-N11,R09-M1-N11,R09-M1-N08,R09-M0-N08
R09-M1-N11,R01-M1-N15,R09-M1-N15,R09-M1-N03,R19-M1-N03,R09-M1-N10,R0D-M1-N10,R09-M1-N09,R09-M0-N09
R09-M1-N12,R09-M1-N08,R01-M1-N08,R09-M1-N04,R19-M1-N04,R0B-M1-N13,R09-M1-N13,R08-M1-N14,R09-M1-N14
R09-M1-N13,R09-M1-N09,R01-M1-N09,R09-M1-N05,R19-M1-N05,R09-M1-N12,R0D-M1-N12,R08-M1-N15,R09-M1-N15
R09-M1-N14,R09-M1-N10,R01-M1-N10,R09-M1-N06,R19-M1-N06,R0B-M1-N15,R09-M1-N15,R09-M1-N12,R09-M0-N12
R09-M1-N15,R09-M1-N11,R01-M1-N11,R09-M1-N07,R19-M1-N07,R09-M1-N14,R0D-M1-N14,R09-M1-N13,R09-M0-N13
R0A-M0-N00,R02-M0-N04,R0A-M0-N04,R2A-M0-N08,R0A-M0-N08,R0E-M0-N01,R0A-M0-N01,R0B-M0-N02,R0A-M0-N02
R0A-M0-N01,R02-M0-N05,R0A-M0-N05,R2A-M0-N09,R0A-M0-N09,R0A-M0-N00,R08-M0-N00,R0B-M0-N03,R0A-M0-N03
R0A-M0-N02,R02-M0-N06,R0A-M0-N06,R2A-M0-N10,R0A-M0-N10,R0E-M0-N03,R0A-M0-N03,R0A-M0-N00,R0A-M1-N00
R0A-M0-N03,R02-M0-N07,R0A-M0-N07,R2A-M0-N11,R0A-M0-N11,R0A-M0-N02,R08-M0-N02,R0A-M0-N01,R0A-M1-N01
R0A-M0-N04,R0A-M0-N00,R02-M0-N00,R2A-M0-N12,R0A-M0-N12,R0E-M0-N05,R0A-M0-N05,R0B-M0-N06,R0A-M0-N06
R0A-M0-N05,R0A-M0-N01,R02-M0-N01,R2A-M0-N13,R0A-M0-N13,R0A-M0-N04,R08-M0-N04,R0B-M0-N07,R0A-M0-N07
R0A-M0-N06,R0A-M0-N02,R02-M0-N02,R2A-M0-N14,R0A-M0-N14,R0E-M0-N07,R0A-M0-N07,R0A-M0-N04,R0A-M1-N04
R0A-M0-N07,R0A-M0-N03,R02-M0-N03,R2A-M0-N15,R0A-M0-N15,R0A-M0-N06,R08-M0-N06,R0A-M0-N05,R0A-M1-N05
R0A-M0-N08,R02-M0-N12,R0A-M0-N12,R0A-M0-N00,R1A-M0-N00,R0E-M0-N09,R0A-M0-N09,R0B-M0-N10,R0A-M0-N10
R0A-M0-N09,R02-M0-N13,R0A-M0-N13,R0A-M0-N01,R1A-M0-N01,R0A-M0-N08,R08-M0-N08,R0B-M0-N11,R0A-M0-N11
R0A-M0-N10,R02-M0-N14,R0A-M0-N14,R0A-M0-N02,R1A-M0-N02,R0E-M0-N11,R0A-M0-N11,R0A-M0-N08,R0A-M1-N08
R0A-M0-N11,R02-M0-N15,R0A-M0-N15,R0A-M0-N03,R1A-M0-N03,R0A-M0-N10,R08-M0-N10,R0A-M0-N09,R0A-M1-N09
R0A-M0-N12,R0A-M0-N08,R02-M0-N08,R0A-M0-N04,R1A-M0-N04,R0E-M0-N13,R0A-M0-N13,R0B-M0-N14,R0A-M0-N14
R0A-M0-N13,R0A-M0-N09,R02-M0-N09,R0A-M0-N05,R1A-M0-N05,R0A-M0-N12,R08-M0-N12,R0B-M0-N15,R0A-M0-N15
R0A-M0-N14,R0A-M0-N10,R02-M0-N10,R0A-M0-N06,R1A-M0-N06,R0E-M0-N15,R0A-M0-N15,R0A-M0-N12,R0A-M1-N12
R0A-M0-N15,R0A-M0-N11,R02-M0-N11,R0A-M0-N07,R1A-M0-N07,R0A-M0-N14,R08-M0-N14,R0A-M0-N13,R0A-M1-N13
R0A-M1-N00,R02-M1-N04,R0A-M1-N04,R2A-M1-N08,R0A-M1-N08,R0E-M1-N01,R0A-M1-N01,R0A-M0-N02,R0A-M1-N02
R0A-M1-N01,R02-M1-N05,R0A-M1-N05,R2A-M1-N09,R0A-M1-N09,R0A-M1-N00,R08-M1-N00,R0A-M0-N03,R0A-M1-N03
R0A-M1-N02,R02-M1-N06,R0A-M1-N06,R2A-M1-N10,R0A-M1-N10,R0E-M1-N03,R0A-M1-N03,R0A-M1-N00,R0B-M1-N00
