"str","partition"
"000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C80-73FF1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000","MIR-08480-3B7F1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000","MIR-480C0-7B3F1-512"
"000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000","MIR-44480-777F1-1-1024"
"000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000","MIR-40800-73B71-1-1024"
"000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000","MIR-040C0-373F1-512"
"000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40000-73331-512"
"000000000000000000000000000000000000000000000000111100000000000000000000000000000000000000000000","MIR-44000-773F1-2048"
"000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C00-33FF1-2048"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000","MIR-48080-7B3F1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000","MIR-08880-3BBF1-1-1024"
"000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40080-733F1-1-1024"
"000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-400C0-733F1-512"
"000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000","MIR-44800-77B31-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000","MIR-48800-7BB31-512"
"000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00880-33BF1-1-1024"
"000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000","MIR-40880-73BB1-512"
"110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-33371-1-1024"
"000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40080-733B1-512"
"000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000","MIR-40400-73771-1-1024"
"000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000","MIR-40880-73BF1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000","MIR-08CC0-3BFF1-512"
"000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00400-33731-512"
"000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000","MIR-08C00-3BF31-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000","MIR-08880-3BBB1-512"
"000000000000000011110000111100000000000000000000000000000000000000000000000000000000000000000000","MIR-40000-737F1-4096"
"000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000","MIR-40800-73B31-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111","MIR-48800-7BBF1-2048"
"000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000","MIR-08800-3BB31-512"
"111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-33FF1-8192"
"000000000000000000000000000000000000000000000000000000000000000011111111111111110000000000000000","MIR-08000-3BFF1-8192"
"000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000","MIR-084C0-3B7F1-512"
"000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000","MIR-08400-3B771-1-1024"
"000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000","MIR-44C80-77FF1-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000","MIR-08C40-3BF71-512"
"111111111111111100000000000000001111111111111111000000000000000000000000000000000000000000000000","MIR-00000-37FF1-16384"
"000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000","MIR-44C00-77F71-1-1024"
"000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000","MIR-40480-737B1-512"
"000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C00-73FF1-2048"
"000000000000000000000000000000000000111100000000000000000000000000000000000000000000000000000000","MIR-04C00-37FF1-2048"
"111100001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-337F1-4096"
"000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000","MIR-04400-37771-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000","MIR-088C0-3BBF1-512"
"000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000","MIR-40440-73771-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000","MIR-08800-3BBF1-2048"
"000000000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40000-733F1-2048"
"000000000000000000000000000000000000000000000000000000000000000000000000111100000000000000000000","MIR-08400-3B7F1-2048"
"000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00400-337F1-2048"
"111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00000-333F1-2048"
"000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40CC0-73FF1-512"
"000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000","MIR-40840-73B71-512"
"000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C80-33FF1-1-1024"
"001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-000C0-333F1-512"
"000000000000111100000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00800-33BF1-2048"
"000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111","MIR-48000-7BFF1-8192"
"000000000000000000000000000000000000000000000000111111111111111100000000000000000000000000000000","MIR-44000-77FF1-8192"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000","MIR-48400-7B7F1-2048"
"000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000","MIR-44840-77B71-512"
"000000000000000000000000000000000000111100000000000011110000000000000000000000000000000000000000","MIR-04C00-77FF1-4096"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000","MIR-48C40-7BF71-512"
"000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000000000","MIR-08000-3B3F1-2048"
"000000000000000000000000000000000000000000000000111100001111000000000000000000000000000000000000","MIR-44000-777F1-4096"
"000000000000000000000000000011110000000000000000000000000000000000000000000000000000000000000000","MIR-40800-73BF1-2048"
"000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000","MIR-40C80-73FB1-512"
"111100001111111111110000111111110000000000000000000000000000000000000000000000000000000000000000","MIR-00000-73BF1-12288"
