"torus","RMNJ"
"00E41","R02-M1-N01-J06"
"00E50","R02-M1-N01-J13"
"00E51","R02-M1-N01-J10"
"00E60","R02-M1-N03-J13"
"00E61","R02-M1-N03-J10"
"00E70","R02-M1-N03-J01"
"00E71","R02-M1-N03-J06"
"00E80","R03-M1-N01-J01"
"00E81","R03-M1-N01-J06"
"00E90","R03-M1-N01-J13"
"00E91","R03-M1-N01-J10"
"00EA0","R03-M1-N03-J13"
"00EA1","R03-M1-N03-J10"
"00EB0","R03-M1-N03-J01"
"00EB1","R03-M1-N03-J06"
"00EC0","R03-M0-N01-J01"
"00EC1","R03-M0-N01-J06"
"00ED0","R03-M0-N01-J13"
"00ED1","R03-M0-N01-J10"
"00EE0","R03-M0-N03-J13"
"00EE1","R03-M0-N03-J10"
"00EF0","R03-M0-N03-J01"
"00EF1","R03-M0-N03-J06"
"00F00","R02-M0-N01-J00"
"00F01","R02-M0-N01-J07"
"00F10","R02-M0-N01-J12"
"00F11","R02-M0-N01-J11"
"00F20","R02-M0-N03-J12"
"00F21","R02-M0-N03-J11"
"00F30","R02-M0-N03-J00"
"00F31","R02-M0-N03-J07"
"00F40","R02-M1-N01-J00"
"00F41","R02-M1-N01-J07"
"00F50","R02-M1-N01-J12"
"00F51","R02-M1-N01-J11"
"00F60","R02-M1-N03-J12"
"00F61","R02-M1-N03-J11"
"00F70","R02-M1-N03-J00"
"00F71","R02-M1-N03-J07"
"00F80","R03-M1-N01-J00"
"00F81","R03-M1-N01-J07"
"00F90","R03-M1-N01-J12"
"00F91","R03-M1-N01-J11"
"00FA0","R03-M1-N03-J12"
"00FA1","R03-M1-N03-J11"
"00FB0","R03-M1-N03-J00"
"00FB1","R03-M1-N03-J07"
"00FC0","R03-M0-N01-J00"
"00FC1","R03-M0-N01-J07"
"00FD0","R03-M0-N01-J12"
"00FD1","R03-M0-N01-J11"
"00FE0","R03-M0-N03-J12"
"00FE1","R03-M0-N03-J11"
"00FF0","R03-M0-N03-J00"
"00FF1","R03-M0-N03-J07"
"01000","R00-M0-N00-J03"
"01001","R00-M0-N00-J04"
"01010","R00-M0-N00-J15"
"01011","R00-M0-N00-J08"
"01020","R00-M0-N02-J15"
"01021","R00-M0-N02-J08"
"01030","R00-M0-N02-J03"
"01031","R00-M0-N02-J04"
"01040","R00-M1-N00-J03"
"01041","R00-M1-N00-J04"
"01050","R00-M1-N00-J15"
"01051","R00-M1-N00-J08"
"01060","R00-M1-N02-J15"
"01061","R00-M1-N02-J08"
"01070","R00-M1-N02-J03"
"01071","R00-M1-N02-J04"
"01080","R01-M1-N00-J03"
"01081","R01-M1-N00-J04"
"01090","R01-M1-N00-J15"
"01091","R01-M1-N00-J08"
"010A0","R01-M1-N02-J15"
"010A1","R01-M1-N02-J08"
"010B0","R01-M1-N02-J03"
"010B1","R01-M1-N02-J04"
"010C0","R01-M0-N00-J03"
"010C1","R01-M0-N00-J04"
"010D0","R01-M0-N00-J15"
"010D1","R01-M0-N00-J08"
"010E0","R01-M0-N02-J15"
"010E1","R01-M0-N02-J08"
"010F0","R01-M0-N02-J03"
"010F1","R01-M0-N02-J04"
"01100","R00-M0-N00-J02"
"01101","R00-M0-N00-J05"
"01110","R00-M0-N00-J14"
"01111","R00-M0-N00-J09"
"01120","R00-M0-N02-J14"
"01121","R00-M0-N02-J09"
"01130","R00-M0-N02-J02"
"01131","R00-M0-N02-J05"
"01140","R00-M1-N00-J02"
"01141","R00-M1-N00-J05"
"01150","R00-M1-N00-J14"
"01151","R00-M1-N00-J09"
"01160","R00-M1-N02-J14"
"01161","R00-M1-N02-J09"
"01170","R00-M1-N02-J02"
"01171","R00-M1-N02-J05"
"01180","R01-M1-N00-J02"
"01181","R01-M1-N00-J05"
"01190","R01-M1-N00-J14"
"01191","R01-M1-N00-J09"
"011A0","R01-M1-N02-J14"
"011A1","R01-M1-N02-J09"
"011B0","R01-M1-N02-J02"
"011B1","R01-M1-N02-J05"
"011C0","R01-M0-N00-J02"
"011C1","R01-M0-N00-J05"
"011D0","R01-M0-N00-J14"
"011D1","R01-M0-N00-J09"
"011E0","R01-M0-N02-J14"
"011E1","R01-M0-N02-J09"
"011F0","R01-M0-N02-J02"
"011F1","R01-M0-N02-J05"
"01200","R00-M0-N01-J02"
"01201","R00-M0-N01-J05"
"01210","R00-M0-N01-J14"
"01211","R00-M0-N01-J09"
"01220","R00-M0-N03-J14"
"01221","R00-M0-N03-J09"
"01230","R00-M0-N03-J02"
"01231","R00-M0-N03-J05"
"01240","R00-M1-N01-J02"
"01241","R00-M1-N01-J05"
"01250","R00-M1-N01-J14"
"01251","R00-M1-N01-J09"
"01260","R00-M1-N03-J14"
"01261","R00-M1-N03-J09"
"01270","R00-M1-N03-J02"
"01271","R00-M1-N03-J05"
"01280","R01-M1-N01-J02"
"01281","R01-M1-N01-J05"
"01290","R01-M1-N01-J14"
"01291","R01-M1-N01-J09"
"012A0","R01-M1-N03-J14"
"012A1","R01-M1-N03-J09"
"012B0","R01-M1-N03-J02"
"012B1","R01-M1-N03-J05"
"012C0","R01-M0-N01-J02"
"012C1","R01-M0-N01-J05"
"012D0","R01-M0-N01-J14"
"012D1","R01-M0-N01-J09"
"012E0","R01-M0-N03-J14"
"012E1","R01-M0-N03-J09"
"012F0","R01-M0-N03-J02"
"012F1","R01-M0-N03-J05"
"01300","R00-M0-N01-J03"
"01301","R00-M0-N01-J04"
"01310","R00-M0-N01-J15"
"01311","R00-M0-N01-J08"
"01320","R00-M0-N03-J15"
"01321","R00-M0-N03-J08"
"01330","R00-M0-N03-J03"
"01331","R00-M0-N03-J04"
"01340","R00-M1-N01-J03"
"01341","R00-M1-N01-J04"
"01350","R00-M1-N01-J15"
"01351","R00-M1-N01-J08"
"01360","R00-M1-N03-J15"
"01361","R00-M1-N03-J08"
"01370","R00-M1-N03-J03"
"01371","R00-M1-N03-J04"
"01380","R01-M1-N01-J03"
"01381","R01-M1-N01-J04"
"01390","R01-M1-N01-J15"
"01391","R01-M1-N01-J08"
"013A0","R01-M1-N03-J15"
"013A1","R01-M1-N03-J08"
"013B0","R01-M1-N03-J03"
"013B1","R01-M1-N03-J04"
"013C0","R01-M0-N01-J03"
"013C1","R01-M0-N01-J04"
"013D0","R01-M0-N01-J15"
"013D1","R01-M0-N01-J08"
"013E0","R01-M0-N03-J15"
"013E1","R01-M0-N03-J08"
"013F0","R01-M0-N03-J03"
"013F1","R01-M0-N03-J04"
"01400","R04-M0-N00-J03"
"01401","R04-M0-N00-J04"
"01410","R04-M0-N00-J15"
